0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1606    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1088    0.001    0.000    0.002    0.000 inspect.py:484(unwrap)
      934    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      154    0.001    0.000    0.003    0.000 types.py:53(_setup_methods)
      943    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
  488/218    0.001    0.000    0.022    0.000 sre_parse.py:411(_parse_sub)
      412    0.001    0.000    0.024    0.000 artist.py:1278(get_valid_values)
      692    0.001    0.000    0.003    0.000 typing.py:113(_type_check)
     1242    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1429    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      322    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6573    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1737    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
       57    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.001    0.001    0.001    0.001 {petsc4py.PETSc._initialize}
     5520    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      803    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      401    0.001    0.000    0.003    0.000 inspect.py:1799(_signature_bound_method)
      115    0.001    0.000    0.046    0.000 _distn_infrastructure.py:702(_construct_doc)
      996    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
 1057/983    0.001    0.000    0.014    0.000 typing.py:248(inner)
     1576    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     4136    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
      218    0.001    0.000    0.038    0.000 sre_compile.py:759(compile)
     1886    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      110    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.001    0.001    0.001    0.001 codata.py:1512(parse_constants_2018toXXXX)
     2258    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      592    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
     1771    0.001    0.000    0.001    0.000 types.py:311(<listcomp>)
     2409    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     3127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
